"InvoiceId","Store","Department","SSN","CustomerName","Gender","Address","City","State","PostalCode","PaymentType","CardNumber","Quantity","ProductPrice","Total","Product","SaleDate","SaleTime"
104492,Bergstrom-Senger,"Books, Games & Garden","722-12-3436",Alexys Reilly Sr.,Male,"51593 Funk Burg",Goodwinstad,UT,38890,Visa,"4032-9214-4095-1330",4,41.68,166.72,Incredible Plastic Gloves,2022-05-19,01:52:04
106190,Emard DVM,"Grocery, Games & Home","366-52-3151",Mrs. Beverly Crona,Female,"27773 Glennie Stream",Emardmouth,MI,95442,AMEX,"3104-961704-96849",9,92.65,833.85,Practical Plastic Table,2022-05-07,12:02:35
112726,Witting DVM,"Health, Games & Movies","876-57-9394",Jeremy Nader V,Male,"46432 Reinger Track",West Mylene,MI,37646,MasterCard,"5289-2570-7676-3360",4,39.28,157.12,Awesome Plastic Shirt,2022-02-23,14:43:28
113901,Corkery Sr.,Clothing & Books,"682-69-1192",Tyreek Beier,Female,"97914 Viola Drive",Rutherfordmouth,PA,14074,AMEX,"3550-777344-66874",2,56.20,112.40,Fantastic Concrete Hat,2022-05-20,06:04:58
119509,"Kutch, Hartmann and Runolfsdottir",Health & Jewelery,"634-83-6604",Richard Bednar,Male,"228 Russel Trace",South Rayview,VT,86286,EWallet,"1JLSrCPP2Eza55D1bkVQc5A6unuKFq44un",4,75.64,302.56,Sleek Concrete Shirt,2022-04-11,22:58:54
119599,"Kutch, Hartmann and Runolfsdottir",Health & Toys,"323-64-9815",Mathias Ondricka,Female,"526 Ara Plains",Howellborough,LA,97553,Cash,"",4,60.42,241.68,Intelligent Cotton Gloves,2021-12-12,14:19:13
119812,Hilll-Rolfson,Garden & Shoes,"731-52-1614",Teresa Langosh,Female,"40959 Fleta Hills",South Jacquesport,ME,16332,Visa,"4033-4841-3808-1056",8,13.77,110.16,Awesome Concrete Chair,2022-05-13,21:29:03
129424,Howell-Mraz,Shoes,"791-93-3490",Shad Dickinson IV,Female,"127 Heloise Manor",South Cassidyview,WY,70759,Visa,"4417-9628-8300-5409",6,0.46,2.76,Practical Concrete Gloves,2022-03-06,18:46:00
130342,Emard DVM,"Baby, Sports & Shoes","673-43-6383",Dr. Beth Zulauf,Male,"4565 Johnny Glens",Ryderborough,MT,53538,AMEX,"3966-889695-19608",7,32.85,229.95,Awesome Granite Car,2022-02-23,17:59:18
132917,Emard DVM,"Grocery, Garden & Automotive","232-51-7663",Winnifred Ritchie,Male,"29386 Ernser Rue",Olsonfort,MD,15009,Cash,"",5,18.69,93.45,Practical Wooden Hat,2022-04-13,06:32:03
