PostalCode,PaymentType,capacitor,CustomerName,Date,Product,card,Gender,hard drive, ,Quantity,City,Total,ProductPrice,Address,monitor,panel,InvoiceId,Store,Department,Time,State
49073,"EWallet",1454607,"Mauricio Wilderman","3-12-2021","Awesome Cotton Car",true,"Female",69.26,45.33,5,"Lake Tonyborough",326.60,65.32,"742 Daniel Expressway",true,31.96,406608,"Lakin, O'Connell and Monahan","Books","3:43:56","ID"
27207,"MasterCard",true,"Ms. Mitchell Rippin","8-23-2021","Fantastic Granite Computer",3742532,"Female",3.60,true,10,"Elnabury",216.20,21.62,"20361 Fabian Trail","mobile",25.30,525732,"Considine PhD","Tools & Grocery","12:56:13","NY"
30905,"Visa","multi-byte","Laisha Cremin","4-12-2021","Small Cotton Chair",3091691,"Female","parse",8450772,8,"Coryview",464.40,58.05,"511 Connie Orchard","solid state",7785889,374940,"Lakin, O'Connell and Monahan","Baby","20:16:30","OR"
88955,"Cash",2059300,"Prudence Murphy I","9-30-2021","Sleek Plastic Shoes",7329926,"Female","SQL",71.44,4,"Elmoport",195.40,48.85,"7620 Conroy Islands",2821213,"calculate",803671,"Parisian, Wolff and Gorczany","Music & Beauty","19:11:54","AK"
46514,"MasterCard",70.46,"Bradly Brekke","8-21-2021","Incredible Wooden Pants",true,"Male","quantify",true,3,"South Lance",187.14,62.38,"13988 Balistreri Cape",42.48,false,530266,"Wiegand-Tillman","Industrial & Home","1:56:1","MT"
24693,"Cash","SAS","Dejah Wolff Jr.","10-25-2021","Rustic Concrete Chair",0.13,"Female",7842686,false,1,"Chesterland",27.17,27.17,"58249 Watsica Plains",true,false,359979,"Auer V","Sports & Games","2:0:43","PA"
63030,"Visa",true,"Cayla Shields V","8-17-2021","Rustic Steel Computer",true,"Female",55.39,17.40,5,"North Van",236.35,47.27,"6405 Gerlach Circle",true,3.79,675246,"Larkin-McClure","Sports & Industrial","9:33:39","KY"
80377,"Visa",86.80,"Delaney Breitenberg","1-31-2021","Practical Wooden Shoes",false,"Male",true,false,7,"New Pietro",498.61,71.23,"4011 Gilbert Villages",72.30,238202,716861,"Wiegand-Tillman","Home & Garden","2:46:36","DE"
85067,"AMEX",true,"Sabrina Oberbrunner MD","9-16-2021","Small Cotton Pants",80.97,"Male",44.32,"navigate",6,"Abbigailmouth",172.20,28.70,"3611 Ledner Loop","SAS",53.54,572712,"Considine PhD","Tools & Kids","10:54:38","FL"
13386,"Cash",13.12,"Clifton Brakus MD","3-20-2021","Small Granite Table","SAS","Male","HDD","hack",4,"West Jeanette",60.12,15.03,"66440 Clementina Mountain","synthesizing",6119472,584902,"Kshlerin DDS","Shoes & Computers","0:40:9","TX"
60922,"MasterCard","THX","Rahul Ortiz","9-19-2021","Intelligent Cotton Gloves","online","Female","neural",18.58,4,"Scotfort",270.20,67.55,"586 Strosin Highway",4501631,false,151463,"Parisian, Wolff and Gorczany","Electronics & Industrial","22:1:46","NC"
88711,"AMEX",7439988,"Darby McGlynn","3-23-2021","Practical Concrete Table",2281156,"Male",true,false,5,"South Breannaview",20.15,4.03,"78477 Diego Mountains",false,35.97,198067,"Armstrong, Strosin and Altenwerth","Garden","3:18:58","NE"
52669,"Cash",39.10,"Sigrid Welch","10-8-2021","Incredible Plastic Car",true,"Female",24.82,85.43,6,"North Darrionmouth",135.18,22.53,"27442 Darrell Green",6369983,84.13,761021,"Wiegand-Tillman","Kids, Toys & Jewelery","4:45:15","NE"
46111,"AMEX",69.88,"Miss Elda Harber","2-13-2021","Rustic Cotton Gloves",93.32,"Female",false,true,4,"Port Shanieton",354.40,88.60,"450 Murphy Divide",false,78.03,330141,"Auer V","Outdoors","10:3:22","NM"
77958,"AMEX",10.49,"Dillan Mayert","9-11-2021","Fantastic Rubber Computer",false,"Female",93.55,56.79,1,"Ephraimshire",26.07,26.07,"1328 Wisoky River",80.07,false,400321,"Lakin, O'Connell and Monahan","Outdoors & Industrial","10:50:36","MN"
12467,"EWallet",28.81,"Gwen Keebler","9-15-2021","Rustic Cotton Shoes",65.17,"Female",4793535,9183073,9,"Port Kaleigh",643.68,71.52,"28821 Dickinson Squares",8949749,"circuit",269928,"McClure, Block and Franecki","Home, Computers & Sports","17:9:49","OR"
75161,"Cash","solid state","Percival Stamm","7-29-2021","Incredible Concrete Pants","protocol","Male",true,"HDD",7,"Fayfort",546.49,78.07,"37489 Kuhn Port",92.79,6101740,210384,"Armstrong, Strosin and Altenwerth","Garden & Tools","11:31:45","FL"
16852,"Visa","pixel","Ollie Collins","5-8-2021","Practical Steel Computer",false,"Female",31.97,true,9,"Morissettebury",735.39,81.71,"6224 Hermiston Light",false,1240844,376442,"Armstrong, Strosin and Altenwerth","Toys & Garden","3:54:14","WA"
82132,"AMEX",30.51,"Pauline Ryan","8-15-2021","Incredible Plastic Shoes",false,"Male",16.68,76.95,4,"Piercebury",199.92,49.98,"3961 Mertz Grove",false,"panel",267666,"Kshlerin DDS","Movies, Industrial & Automotive","1:34:51","AR"
72077,"Visa",5460609,"Monty Cartwright Sr.","3-27-2021","Incredible Granite Pants",51.14,"Female",false,73.99,8,"Spencerberg",149.04,18.63,"272 Marisa Centers",97.43,630046,404318,"Lakin, O'Connell and Monahan","Computers, Books & Toys","23:48:0","DE"
86079,"Visa",true,"Bertha Gottlieb Jr.","2-8-2021","Sleek Plastic Shoes",9126216,"Male",4485834,false,5,"Kesslerville",352.00,70.40,"52360 Hudson Isle","online",8760532,574504,"Considine PhD","Automotive","9:53:27","MO"
40290,"AMEX",70.46,"Norval Klein","6-24-2021","Gorgeous Rubber Pants",3311061,"Male","programming",2057458,4,"South Patienceport",55.44,13.86,"694 Johnnie Manor",7747035,"connecting",647571,"Parisian, Wolff and Gorczany","Home, Shoes & Automotive","6:52:55","AK"
20005,"AMEX",4980122,"Loyal Douglas Jr.","8-17-2021","Sleek Rubber Shoes",1577329,"Female","connecting","AI",4,"South Will",114.48,28.62,"528 Blanche Passage",73.84,"hard drive",243536,"Kuphal, Spencer and Blanda","Games & Health","15:57:37","VA"
51503,"AMEX",86.46,"Kiarra Corkery","1-14-2021","Ergonomic Steel Computer",9.14,"Male","virtual",8437753,1,"North Mosheburgh",76.01,76.01,"6680 Ullrich Rapids",false,true,335057,"Armstrong, Strosin and Altenwerth","Beauty & Industrial","4:38:20","NV"
58749,"MasterCard",71.31,"Willard Kuphal","9-1-2021","Ergonomic Concrete Computer","overriding","Male","haptic",2028763,6,"West Larry",13.20,2.20,"568 Mitchell Land",16.07,false,193752,"Kshlerin DDS","Automotive, Tools & Health","3:53:0","PA"
34500,"Cash",true,"Wilber Wiegand","6-10-2021","Ergonomic Wooden Computer",false,"Female",14.71,true,4,"Kundeborough",129.80,32.45,"1602 Sharon Road",true,true,551812,"Armstrong, Strosin and Altenwerth","Baby & Clothing","5:15:4","AK"
49567,"EWallet","compress","Nikita Collins","10-7-2021","Gorgeous Plastic Chair",false,"Female",false,8797892,8,"Weissnatborough",196.16,24.52,"9739 Crooks Keys",false,96.64,571276,"Armstrong, Strosin and Altenwerth","Electronics, Tools & Beauty","6:13:39","MA"
14535,"MasterCard",5739701,"Miss Nicolas O'Kon","8-4-2021","Rustic Cotton Pants","synthesizing","Female","online",36.29,10,"New Reyesborough",393.90,39.39,"921 O'Connell Meadow",3990283,95.87,504465,"Armstrong, Strosin and Altenwerth","Computers","8:46:57","UT"
96225,"AMEX",82.31,"Braeden Mills","10-17-2021","Ergonomic Granite Hat","CSS","Female","overriding",false,3,"Zboncakhaven",12.84,4.28,"8217 Jamie Mall",66.73,26.53,496235,"Considine PhD","Music, Grocery & Electronics","23:6:59","MD"
73584,"AMEX",false,"Santino Crona DVM","9-11-2021","Practical Plastic Computer",2.41,"Female","GB",28.31,5,"Tevinshire",406.30,81.26,"360 Patience Underpass",51.57,false,336272,"McClure, Block and Franecki","Automotive & Books","23:12:37","MO"
