Gender,Time,Quantity,State,card,InvoiceId,Store,panel,ProductPrice,Address,CustomerName,Date,Department,PaymentType,system, ,driver,City,PostalCode,Total,Product,transmitter
"Male","21:30:34",2,"MS",true,299407,"Armstrong, Strosin and Altenwerth",64.04,21.66,"601 Labadie Walks","Ms. Toney Kiehn","9-30-2021","Home","MasterCard",1006035,96.46,59.21,"New Frieda",52639,43.32,"Awesome Rubber Shirt",82.28
"Female","4:39:44",10,"KY",true,398488,"Armstrong, Strosin and Altenwerth","input",48.44,"52746 Fernando Fields","Justice Emard","10-20-2021","Industrial, Books & Electronics","MasterCard","redundant",false,"navigate","Hartmanntown",39180,484.40,"Awesome Steel Chair",19.72
"Male","10:36:30",9,"AK","wireless",965992,"Armstrong, Strosin and Altenwerth","navigate",88.76,"61764 Kennith Wall","Will McGlynn","7-24-2021","Movies, Tools & Toys","MasterCard","wireless",71.41,"AGP","North Khalil",33198,798.84,"Practical Wooden Gloves",3.84
"Male","0:43:58",5,"GA",1404636,152728,"McClure, Block and Franecki",2970526,84.56,"77587 O'Connell Views","Dillan Hintz","10-24-2021","Books","MasterCard",84.30,46.83,41.62,"Thielburgh",57306,422.80,"Fantastic Plastic Pants",2980610
"Male","6:29:12",10,"MI",true,967395,"Parisian, Wolff and Gorczany","connect",38.58,"367 Hintz Port","Schuyler Bergstrom","9-2-2021","Books & Electronics","Visa","synthesize",56.06,"program","Jacobsbury",42877,385.80,"Sleek Concrete Gloves",54.30
"Female","3:46:2",10,"FL",false,112236,"Lakin, O'Connell and Monahan","PCI",79.33,"9878 Christophe Inlet","Casandra Rodriguez","1-10-2021","Industrial","Visa","panel",15.03,2638203,"New Ethantown",42453,793.30,"Rustic Granite Gloves",true
"Female","19:17:39",9,"VT",true,373596,"Parisian, Wolff and Gorczany",false,64.23,"584 Mann Tunnel","Mr. Kailey Hoeger","9-19-2021","Automotive & Computers","EWallet",true,23.00,72.47,"Quinnland",70514,578.07,"Sleek Granite Car",true
"Male","6:40:9",3,"TN",91.83,885078,"Considine PhD",false,12.75,"74344 Karli Course","Edmund Schimmel","9-10-2021","Kids & Sports","EWallet",51.21,9300611,76.93,"West Kamryn",18676,38.25,"Small Plastic Computer",0.40
"Male","8:30:55",9,"MD","index",226345,"Wiegand-Tillman",22.10,83.19,"9148 Cremin Well","Mr. Josiah Willms","9-30-2021","Toys, Beauty & Baby","Cash",18.54,"SDD",false,"Hahnfort",30291,748.71,"Rustic Steel Table",false
"Female","2:55:23",6,"CA",true,831572,"Wiegand-Tillman",6857764,20.28,"96193 Connie Street","Clarabelle Botsford","8-12-2021","Shoes","Cash","neural",8674336,3129284,"Lake Kennithside",52218,121.68,"Rustic Concrete Gloves","capacitor"
"Male","9:9:8",7,"MI",190285,902436,"Larkin-McClure","1080p",55.92,"9352 Powlowski Path","Dr. Elliot Fahey","8-19-2021","Industrial & Grocery","MasterCard",89.31,188294,7029439,"Reynoldsberg",72627,391.44,"Awesome Wooden Table",true
"Male","0:21:6",8,"WY",37.43,156946,"Kshlerin DDS",87.88,52.26,"21202 Tom Rue","Lennie Herzog IV","6-15-2021","Home","MasterCard",96.86,46.72,6.95,"West Ahmed",97897,418.08,"Small Concrete Shoes",true
"Female","12:27:52",2,"ME",true,874227,"Wiegand-Tillman",false,40.35,"354 Corkery Rapids","Hadley Lang","9-10-2021","Games","MasterCard",false,4588909,false,"Edenfurt",55748,80.70,"Ergonomic Concrete Table",90.82
"Male","1:37:8",9,"WV",4270068,772134,"Auer V",2753961,56.70,"6062 Verona Brooks","Mr. Zola Keeling","1-18-2021","Garden & Toys","Visa",5935832,5190247,1524177,"Jakubowskiview",54903,510.30,"Fantastic Plastic Table",81.97
"Female","5:32:44",6,"IN",6976258,995422,"Parisian, Wolff and Gorczany",6818267,48.67,"9112 Rudolph Lights","Franz Bins","5-15-2021","Grocery, Garden & Books","Visa","THX","array",36.64,"West Lionel",77609,292.02,"Gorgeous Plastic Shirt","navigate"
"Female","9:36:40",8,"OH",37.09,673352,"Lakin, O'Connell and Monahan",true,39.04,"5321 Evelyn Walk","Miss Leonard Connelly","4-25-2021","Garden & Electronics","AMEX",true,"1080p",44.50,"Goyettehaven",77232,312.32,"Rustic Rubber Car",false
"Male","4:57:5",8,"NH",2893886,275324,"McClure, Block and Franecki",true,55.22,"992 Hagenes Wells","Emilia Cronin","10-6-2021","Books, Computers & Movies","AMEX",6165777,"bus","COM","East Lucy",65091,441.76,"Fantastic Plastic Shirt",34.66
"Male","19:44:26",1,"MN",6595885,321560,"Lakin, O'Connell and Monahan","pixel",9.72,"34978 Rath Forks","Beryl White","10-19-2021","Shoes","EWallet",false,7272990,6.41,"Wilkinsonbury",51884,9.72,"Intelligent Rubber Shoes",2033332
"Male","14:18:7",1,"RI",false,280982,"Lakin, O'Connell and Monahan",14.89,69.59,"339 Swaniawski Roads","Brooke Kerluke","7-15-2021","Beauty, Grocery & Movies","MasterCard","parsing",73.73,false,"Ferminmouth",91590,69.59,"Rustic Plastic Chair",false
"Male","8:35:31",3,"GA",12.93,119594,"McClure, Block and Franecki",35.99,32.84,"45243 Adolf Lodge","Fabiola Rohan","8-10-2021","Clothing & Games","Cash",true,31.96,21.91,"West Keenan",29814,98.52,"Incredible Wooden Hat",18.36
"Male","17:12:11",6,"TX",16.82,399438,"Auer V",true,56.95,"368 Kub Pike","Yessenia Lubowitz","7-22-2021","Baby","EWallet",true,true,"monitor","Edwinaburgh",14502,341.70,"Intelligent Cotton Chair",64.53
"Male","18:45:26",2,"MN","solid state",627840,"Kshlerin DDS",false,14.19,"501 Rempel Tunnel","Mr. Ellis Kihn","7-6-2021","Jewelery & Clothing","Visa","neural",2979399,"TCP","East Evertside",56645,28.38,"Ergonomic Rubber Shirt",false
"Male","17:35:47",10,"WY","SMS",504158,"Wiegand-Tillman",false,44.14,"58171 Noemie Knolls","Destinee Graham","7-18-2021","Automotive","Visa","synthesizing",3.86,3877206,"Audreanneton",13229,441.40,"Small Steel Computer","programming"
"Male","1:9:12",2,"AL",false,956828,"Lakin, O'Connell and Monahan","optical",90.57,"39755 Mia Station","Tess Harber","10-24-2021","Games","Visa",false,false,24.95,"Trantowhaven",84080,181.14,"Sleek Wooden Shoes",8521832
"Female","4:38:0",9,"MO","online",804195,"Considine PhD",2038832,92.71,"1451 Ferry Well","Ignatius Bayer","10-22-2021","Computers, Clothing & Garden","MasterCard","transmit","override",16.03,"Schroederberg",11380,834.39,"Rustic Cotton Chair",false
"Female","21:45:45",6,"VT",false,575165,"Wiegand-Tillman",54.75,2.53,"52530 Gracie Circles","Dr. Yolanda Olson","8-28-2021","Music, Movies & Home","Visa",true,true,false,"Eldridgemouth",81247,15.18,"Small Plastic Hat","hacking"
"Female","18:50:59",4,"IN",54.99,587132,"Wiegand-Tillman",27.49,19.84,"30746 Marvin Common","Rosalia Wunsch","9-15-2021","Tools","EWallet",1159793,2457836,"system","Shanahanville",91307,79.36,"Rustic Wooden Computer",86.16
