State,Department,Date,Total,PaymentType,Address,Product,bus,firewall,Store,ProductPrice,Time,program,InvoiceId,capacitor,pixel,microchip,system,interface,monitor,Quantity,CustomerName,City,protocol,Gender,PostalCode
"MN","Industrial","9-26-2021",92.08,"EWallet","214 Carol Springs","Awesome Concrete Pants",true,1967926,"Kshlerin DDS",46.04,"17:9:25","auxiliary",638619,"neural",5703660,325010,6976003,3698173,"primary",2,"Isabelle Zieme","Jeanetteshire",7860552,"Female",79484
"MI","Toys & Health","9-17-2021",78.79,"Cash","3836 Akeem Rest","Awesome Wooden Chair","wireless",true,"Kuphal, Spencer and Blanda",78.79,"6:11:1",true,425588,"multi-byte","online",7471362,"program","digital",5569637,1,"Ella Wolff I","Lindland",true,"Male",51621
"CO","Grocery, Toys & Movies","3-30-2021",788.24,"Cash","6161 Leuschke Square","Practical Plastic Table",true,78.21,"Kshlerin DDS",98.53,"4:10:16",false,338465,72.12,false,30.55,"cross-platform",62.97,true,8,"Demetris Roberts MD","West Elvis",2677884,"Male",17026
"OR","Books, Jewelery & Music","10-17-2021",344.61,"MasterCard","608 Dare Street","Gorgeous Wooden Gloves","transmit","connecting","Parisian, Wolff and Gorczany",49.23,"3:41:37",true,122358,"microchip",7112723,1153800,"FTP",7580460,false,7,"Ms. Carolyn Batz","North Murrayshire","solid state","Female",52850
"AK","Outdoors","8-5-2021",77.87,"Visa","9774 Stephanie Islands","Sleek Steel Gloves",5988189,6619167,"Auer V",77.87,"15:58:43","reboot",883278,93.46,640946,"overriding",75.87,"navigating",false,1,"Fausto Johnston","New Friedrich",32.17,"Female",62769
"IA","Clothing","5-13-2021",263.97,"AMEX","84632 Howard Mill","Gorgeous Cotton Gloves",true,true,"McClure, Block and Franecki",37.71,"17:25:38",8228636,341081,2099358,false,true,"copy",91.18,true,7,"Greg Gerlach","North Elysestad",false,"Male",38928
"WV","Toys, Computers & Electronics","10-11-2021",108.15,"EWallet","212 Stehr Rue","Sleek Cotton Computer",false,63.18,"Lakin, O'Connell and Monahan",21.63,"13:39:17",true,411819,false,"USB",15.51,6610610,74.13,5819340,5,"Rod Macejkovic","Jordimouth",429748,"Male",73489
"IN","Toys, Music & Movies","7-15-2021",123.96,"Visa","4021 Nikolaus Key","Ergonomic Concrete Shirt",99.39,"solid state","Considine PhD",41.32,"17:2:59",4336813,518330,"auxiliary",8618463,4161803,"pixel","bus",true,3,"Leslie Hudson","Port Romainetown","alarm","Female",85675
"NV","Movies","6-14-2021",289.90,"Visa","32589 Medhurst Streets","Practical Granite Gloves",true,7519419,"Larkin-McClure",57.98,"3:0:24","TCP",750908,10.96,"synthesize",true,"compress",7220553,"circuit",5,"Santa Roob Jr.","Maggieside",true,"Male",82447
"NH","Computers, Toys & Electronics","10-1-2021",970.80,"EWallet","7142 Alize Shore","Fantastic Rubber Shoes","XSS","sensor","Kuphal, Spencer and Blanda",97.08,"12:22:20",420427,402785,true,33.57,true,93.18,true,false,10,"Morgan Kuhlman","South Ravenhaven",60.78,"Female",65784
"NM","Kids, Sports & Baby","2-25-2021",781.02,"AMEX","63981 Nolan Grove","Sleek Steel Computer",64.03,96.84,"Kshlerin DDS",86.78,"22:9:28",false,896364,false,"JBOD","calculating",12.12,true,44.54,9,"Deja Barrows III","Phoebeburgh",67.43,"Male",29512
"IA","Music & Home","6-27-2021",368.01,"Cash","62615 Cronin Spur","Gorgeous Granite Gloves","quantifying",46.10,"McClure, Block and Franecki",40.89,"14:53:22","port",603085,2235922,"cross-platform",98.44,7461736,3555071,27.35,9,"Otho Kemmer DVM","Austinfort","generating","Female",25762
"MO","Toys, Industrial & Electronics","9-8-2021",396.04,"Visa","951 Brannon Corner","Fantastic Rubber Shirt",7427960,9221273,"Parisian, Wolff and Gorczany",99.01,"1:21:9","multi-byte",841145,true,"multi-byte",270732,true,5025150,true,4,"Rogers Nitzsche","New Antwan",42.85,"Female",19994
"MD","Industrial & Baby","10-23-2021",53.91,"Cash","5385 Dare Neck","Fantastic Wooden Shirt",true,18.23,"Lakin, O'Connell and Monahan",53.91,"21:49:19",false,362869,false,73.70,true,33.92,true,true,1,"Jarret Ondricka","Schneidershire","generating","Female",11101
"MD","Grocery & Baby","10-15-2021",103.77,"AMEX","7889 Hane Lock","Incredible Rubber Hat","online",true,"Wiegand-Tillman",34.59,"23:59:23",true,127996,7533137,"SDD",false,52.66,6570216,"HTTP",3,"Agnes Gaylord","Lake Darian",true,"Female",75302
"AR","Tools, Baby & Games","8-24-2021",19.50,"AMEX","5955 Dixie Squares","Incredible Wooden Shoes","navigate","pixel","Kshlerin DDS",3.25,"13:46:16",7290155,419896,"COM",7265572,"auxiliary",false,8316551,false,6,"Miss German Hilll","Weissnatbury","card","Male",38267
"WV","Jewelery & Health","9-23-2021",306.44,"Visa","805 Jessyca Villages","Incredible Rubber Gloves",90.79,7551016,"Auer V",76.61,"8:13:52",true,299036,22.41,true,1534365,true,37.88,false,4,"Thalia Schinner","Donavonchester",70.28,"Female",82226
"WY","Beauty & Outdoors","6-13-2021",473.36,"EWallet","9227 Benny Drives","Rustic Concrete Shirt",2.73,true,"Wiegand-Tillman",59.17,"8:43:43",96.32,881694,true,54.77,true,true,50.44,true,8,"Layne Nolan","West Arianefort",70.45,"Female",42481
"NC","Clothing & Jewelery","5-13-2021",278.85,"MasterCard","899 Gerhold Street","Small Cotton Pants","circuit",false,"Kshlerin DDS",55.77,"20:56:56","optical",536036,true,"COM",false,"application",3205811,66.14,5,"Jennifer Rempel","Kaylahfurt",false,"Female",98211
"WV","Garden, Electronics & Automotive","9-29-2021",71.98,"Cash","54931 Gino Locks","Fantastic Granite Gloves",9430309,"FTP","Larkin-McClure",35.99,"5:33:19",2577478,416108,14.52,7700557,4213897,false,79.04,"quantify",2,"Alfredo Haley","Hectormouth","microchip","Male",98853
"NH","Kids & Clothing","9-24-2021",481.14,"Cash","6728 Jeromy Lane","Awesome Cotton Gloves",9128544,660035,"Larkin-McClure",80.19,"16:51:2",true,838710,"sensor",2801963,7824472,"AI",4251986,22.45,6,"Dr. Morgan Mertz","East Bettye",false,"Female",47552
"NV","Music","10-10-2021",420.60,"Cash","15470 Ethelyn Mill","Rustic Steel Shirt",true,false,"Auer V",84.12,"3:42:45",56.64,680903,53.11,76.61,false,35.79,true,95.20,5,"Erling Jones","Annabellside",7821917,"Female",59185
"UT","Electronics, Books & Home","9-12-2021",197.76,"Cash","7755 Larson Junction","Fantastic Plastic Hat",5731215,60.05,"Considine PhD",65.92,"1:16:47",false,707378,true,15.54,8859052,7780719,"SCSI","array",3,"Linnie Lang","South Trinityview",21840,"Female",37793
"NY","Tools","3-15-2021",738.88,"AMEX","95085 Delta Spring","Rustic Cotton Car",9041022,369189,"Armstrong, Strosin and Altenwerth",92.36,"21:24:19","compress",108675,"connect",true,4379636,7116728,"calculating",77.96,8,"Kristofer Bogisich","West Jamarview",86.96,"Male",78828
"SD","Computers, Jewelery & Home","9-5-2021",57.40,"MasterCard","340 Alexie Corners","Gorgeous Wooden Gloves",3438398,"index","McClure, Block and Franecki",8.20,"18:42:52",true,760704,true,4497117,false,true,53.76,false,7,"Drake DuBuque","New Gerardo",86.19,"Male",78253
