InvoiceId,Date,hard drive,Time,Department,City,Quantity,State,Product,CustomerName,Store,Address,Total,protocol,PaymentType,driver,PostalCode,Gender,monitor,ProductPrice,port
261595,"10-15-2021",5280412,"8:33:44","Baby & Grocery","New Lazaro",8,"FL","Gorgeous Cotton Computer","Mikayla Roberts","Parisian, Wolff and Gorczany","81491 Fay Park",23.84,true,"Visa",58.66,54385,"Male","reboot",2.98,1195456
181155,"8-5-2021",0.76,"14:55:7","Toys, Grocery & Health","East Tressie",7,"OH","Ergonomic Wooden Gloves","Trever Stark","McClure, Block and Franecki","76293 Roberts Ramp",609.70,"PCI","Cash","auxiliary",75703,"Female","synthesize",87.10,true
126448,"4-14-2021","PNG","11:30:44","Computers & Tools","Port Wilfredo",3,"VA","Practical Concrete Car","Mr. Mark Hagenes","Parisian, Wolff and Gorczany","708 Jefferey Fork",85.83,4859066,"Visa",2824889,34950,"Female",true,28.61,1090508
991105,"10-21-2021",5870592,"4:9:26","Tools & Music","Port Maraburgh",9,"MA","Sleek Concrete Shirt","Sven Ledner","Larkin-McClure","928 Russel Inlet",528.21,11.73,"Cash","PNG",95221,"Male",4.84,58.69,40.38
950592,"8-10-2021",true,"15:48:18","Books","Harryborough",2,"ID","Small Granite Car","Ms. Casimer Graham","Wiegand-Tillman","447 Conner Circles",102.32,86.24,"EWallet",false,85965,"Female",true,51.16,41.70
159637,"7-6-2021",true,"15:49:14","Garden & Baby","Zulashire",1,"MD","Fantastic Steel Car","Dr. Eduardo Koss","Armstrong, Strosin and Altenwerth","5076 Larson Mountain",62.94,true,"EWallet",87.14,24136,"Male","primary",62.94,7.05
356646,"9-14-2021",true,"4:0:5","Kids & Movies","Eichmannmouth",3,"WV","Small Granite Hat","Morris McClure","Larkin-McClure","2486 Jakubowski Extensions",273.48,"virtual","MasterCard","quantify",81636,"Female","bluetooth",91.16,44.52
408633,"9-23-2021",true,"22:25:9","Music, Tools & Games","Dickensshire",5,"MD","Gorgeous Steel Shirt","Berta Ziemann","Kuphal, Spencer and Blanda","321 Thompson Fall",246.85,82.98,"AMEX","reboot",20487,"Female","quantify",49.37,true
321786,"10-19-2021",5310069,"1:59:59","Automotive, Kids & Shoes","South Mabellefort",8,"WV","Awesome Steel Hat","Pablo Ernser","Auer V","437 Cindy Mall",348.16,"synthesize","Cash",false,22572,"Female","quantifying",43.52,89.36
283281,"8-7-2021",7853296,"11:50:9","Outdoors","Hassieport",9,"ND","Ergonomic Rubber Shoes","Carlee Mann Jr.","Considine PhD","3796 Jaskolski Glens",529.83,true,"EWallet","online",41218,"Male",false,58.87,4833129
718240,"10-9-2021",2101761,"11:32:15","Tools","Lorenzofurt",7,"FL","Gorgeous Concrete Computer","Rowland Maggio","Armstrong, Strosin and Altenwerth","9095 Collier Gateway",601.51,false,"EWallet",false,47611,"Male",true,85.93,7185292
