hard drive,PaymentType,bandwidth,State,Quantity,City,capacitor,pixel,CustomerName,Department,PostalCode,Date,Time,application,Address,Total,InvoiceId,Product,Store,ProductPrice,Gender
"compress","Cash","generate","TN",8,"Lake Timmy",16.66,false,"Seth Renner","Jewelery, Computers & Sports",24205,"10-3-2021","5:6:23","cross-platform","73602 Pietro Manors",729.84,576381,"Practical Cotton Computer","Armstrong, Strosin and Altenwerth",91.23,"Male"
"synthesizing","Visa","haptic","UT",8,"Port Lucas",true,3078409,"Kennith Willms","Home",46125,"10-13-2021","9:49:50",false,"288 Hilll Centers",792.56,286925,"Intelligent Rubber Computer","Considine PhD",99.07,"Female"
6.27,"Visa",42.22,"NJ",10,"Dibbertfurt",true,true,"Samir Ruecker","Sports & Toys",26652,"10-15-2021","21:20:16",false,"1170 Barton Green",54.70,817832,"Ergonomic Granite Pants","Wiegand-Tillman",5.47,"Male"
false,"Cash",80.95,"AL",3,"Josiannebury",true,false,"Viviane Pouros","Clothing, Sports & Tools",27513,"9-27-2021","10:7:28",false,"1995 Durgan Mission",163.92,227881,"Practical Wooden Pants","Considine PhD",54.64,"Female"
8.55,"MasterCard",false,"CO",7,"East Daniela",6349929,17.73,"Icie Gutmann","Movies & Outdoors",15986,"4-5-2021","17:14:24",60.88,"70492 Leif Gateway",401.45,357629,"Gorgeous Granite Table","Wiegand-Tillman",57.35,"Male"
"back up","EWallet","neural","CA",10,"West Kallie",false,true,"Janae Kuvalis","Kids",97365,"12-9-2020","12:10:18",3449810,"3976 Aufderhar Shoals",83.60,795852,"Sleek Plastic Computer","Larkin-McClure",8.36,"Male"
false,"Cash",369550,"KY",8,"North Stanton","quantify",true,"Ophelia Parker","Garden, Toys & Kids",58882,"3-6-2021","0:33:25",2098932,"36358 Gulgowski Islands",528.88,429698,"Fantastic Cotton Chair","Larkin-McClure",66.11,"Male"
5819537,"AMEX",2574748,"NJ",9,"New Natasha",8229501,"connecting","Mr. Wilfredo Crooks","Clothing & Computers",20133,"9-12-2021","8:11:27",true,"15434 Kirk Shoals",246.51,842381,"Awesome Granite Hat","Wiegand-Tillman",27.39,"Male"
"transmitting","EWallet","online","WA",9,"New Gerry",false,7305052,"Mrs. Mylene Padberg","Automotive",67358,"10-20-2021","18:45:2",89.14,"54495 Kerluke Trail",625.68,491456,"Gorgeous Wooden Computer","Auer V",69.52,"Female"
9.04,"MasterCard",false,"GA",10,"Ziemanntown",7.75,false,"Travis Klein","Kids & Computers",75724,"10-7-2021","18:6:5",67.18,"24442 Kerluke Hollow",28.60,489017,"Ergonomic Steel Hat","McClure, Block and Franecki",2.86,"Male"
true,"Visa",47.10,"HI",4,"Yvettefurt",83.07,true,"Wilfrid Casper","Movies",51524,"12-19-2020","14:33:23",1828642,"938 Beth Square",78.72,553467,"Awesome Granite Chair","Wiegand-Tillman",19.68,"Female"
1.58,"Cash",64.15,"KS",3,"North Marilynemouth",87.99,3839133,"Precious Metz II","Jewelery & Clothing",13847,"5-3-2021","8:33:37","application","60082 Gorczany Camp",182.49,478691,"Ergonomic Rubber Hat","Kshlerin DDS",60.83,"Female"
8852213,"AMEX","calculating","OH",3,"East Arjun",true,"backing up","Mr. Mathias Leffler","Baby",76587,"10-10-2021","17:56:58",71.09,"85865 Wilderman Avenue",96.15,244812,"Practical Granite Chair","Wiegand-Tillman",32.05,"Female"
"hacking","AMEX",true,"OR",4,"Port Leon","bypass",12.75,"Harvey Towne","Movies",50541,"7-7-2021","18:15:32","solid state","7085 Justus Radial",358.40,402562,"Incredible Wooden Hat","Larkin-McClure",89.60,"Female"
"wireless","Cash",5977632,"AZ",3,"Johnsonbury",6378786,"quantifying","Marion Beer DVM","Clothing, Health & Kids",63349,"3-26-2021","18:2:48",96.65,"32484 Ashly Station",167.28,122759,"Small Concrete Table","Kuphal, Spencer and Blanda",55.76,"Male"
6709781,"MasterCard",false,"FL",5,"East Isidrohaven",6940361,"parse","Jedidiah Brown","Shoes & Kids",56609,"9-12-2021","21:3:20","synthesizing","984 Kip Walks",436.55,463169,"Small Granite Shoes","Wiegand-Tillman",87.31,"Female"
true,"AMEX",false,"AR",10,"Blickborough","open-source",17.17,"Ms. Brooks Walsh","Computers & Industrial",19308,"10-10-2021","14:47:1",13.64,"55408 Jacobi Pike",236.30,269924,"Practical Rubber Car","Kuphal, Spencer and Blanda",23.63,"Female"
73.03,"EWallet",32.86,"TN",9,"East Wernerfort",true,31.08,"Adolfo Marquardt","Clothing, Shoes & Toys",67422,"10-15-2021","19:37:45",27.57,"677 Leif Alley",780.12,222616,"Incredible Plastic Gloves","Parisian, Wolff and Gorczany",86.68,"Male"
83.49,"AMEX",19.85,"UT",7,"South Daijamouth",false,true,"Kirk Feest","Games & Music",59277,"4-24-2021","4:53:17",false,"4811 Beahan Mills",596.68,917256,"Intelligent Wooden Pants","Auer V",85.24,"Male"
4697694,"MasterCard",true,"MD",1,"West Madonna",false,"SQL","Mr. Maryse Shanahan","Sports & Kids",83618,"10-13-2021","19:8:3",5574182,"13383 Friesen Plaza",21.86,675301,"Practical Granite Shoes","Wiegand-Tillman",21.86,"Female"
96.62,"AMEX","wireless","NY",7,"Port Claudia",7215767,"driver","Rozella Gusikowski","Sports",40276,"10-13-2021","16:35:56",7939688,"96159 Ledner Fort",651.56,526792,"Sleek Wooden Gloves","Considine PhD",93.08,"Male"
