City,system,hard drive,port,InvoiceId,system,State,Time,CustomerName,Date,ProductPrice,Address,alarm,Department,card,Store,Gender,Total,PostalCode,bandwidth,Quantity,Product,PaymentType
"South Willymouth",18.86,54.45,6349635,660547,37.43,"WI","17:7:41","Hosea Klein","7-4-2021",84.36,"181 Kerluke Centers","backing up","Garden & Computers","copying","Parisian, Wolff and Gorczany","Male",506.16,45433,false,6,"Small Cotton Computer","Visa"
"Mikechester",62.28,974322,true,181508,48.29,"AR","13:34:45","Josie Hilll","9-13-2021",98.46,"41963 Berge Trail",false,"Baby",false,"Parisian, Wolff and Gorczany","Female",886.14,56081,"AI",9,"Ergonomic Steel Computer","Cash"
"North Filibertoburgh",63.19,"bluetooth",1609400,423330,39.08,"NH","18:46:30","General Harris","4-16-2021",25.48,"390 Dicki Glens",false,"Clothing, Sports & Toys",7.85,"Armstrong, Strosin and Altenwerth","Male",127.40,13873,true,5,"Fantastic Wooden Chair","MasterCard"
"Magnoliamouth",90.13,53.44,false,908832,66.25,"KS","7:19:22","Jasmin Rath","4-24-2021",87.25,"14064 Polly Circles",true,"Sports & Grocery","alarm","Considine PhD","Male",349.00,74102,"array",4,"Fantastic Wooden Pants","Visa"
"Champlinberg",9196864,false,5671913,783042,2177022,"MD","15:55:57","Triston Hessel","12-25-2020",85.59,"753 Bogan Road",2981738,"Jewelery",7058672,"Kshlerin DDS","Male",427.95,43285,true,5,"Rustic Granite Shirt","AMEX"
"Emmerichton",2.09,"GB",24.96,458283,60.92,"NC","10:59:9","Dudley Huels","5-15-2021",97.53,"28586 Genevieve Junctions","back up","Jewelery & Tools",true,"Wiegand-Tillman","Male",292.59,21074,"quantifying",3,"Awesome Rubber Table","AMEX"
"Adamsberg","cross-platform","solid state",2099898,610699,"THX","ME","23:44:4","Ryan Emard","10-18-2021",46.44,"265 Turner Ways",true,"Tools",74.65,"Kshlerin DDS","Female",139.32,64943,"reboot",3,"Fantastic Granite Shoes","AMEX"
"New Scotberg",57.70,true,"override",517754,46.28,"NM","20:58:7","Ona Kerluke","4-29-2021",10.70,"87663 Zander Views",false,"Baby, Health & Tools",true,"Larkin-McClure","Female",53.50,82108,false,5,"Small Rubber Shoes","AMEX"
"McLaughlinbury",51.13,8377662,64.64,341742,27.56,"NY","5:49:24","Enos Borer","9-26-2021",54.79,"69639 Wisozk Stream",true,"Automotive, Outdoors & Electronics",false,"McClure, Block and Franecki","Male",54.79,19363,true,1,"Intelligent Concrete Chair","Cash"
"West Zackaryton",5.24,true,31.23,704791,20.58,"TN","13:20:39","Aleen Bins","10-12-2021",62.05,"7860 Haag Islands",17.46,"Garden & Sports",80.79,"Parisian, Wolff and Gorczany","Female",186.15,57056,3.84,3,"Sleek Granite Computer","MasterCard"
"Port Alan",7443459,49.62,true,476054,5708661,"AZ","23:59:26","Mark Mayert","3-31-2021",34.08,"47854 Nathanael Ridge","online","Health, Toys & Jewelery",5835317,"Lakin, O'Connell and Monahan","Female",68.16,67293,"programming",2,"Fantastic Granite Shirt","Cash"
"Leschchester",43.03,"program","connect",187838,7.38,"AR","4:11:39","Mrs. Wendell Kihn","12-28-2020",45.58,"763 Kautzer Courts",1463227,"Home, Music & Industrial",67.36,"Kuphal, Spencer and Blanda","Male",455.80,76905,36.64,10,"Practical Steel Computer","AMEX"
"Cordeliamouth","backing up",true,"PNG",144506,"auxiliary","CT","5:15:4","Lucius Konopelski","9-3-2021",99.30,"8696 Towne Mills",4293364,"Sports",true,"Considine PhD","Male",595.80,76975,63.85,6,"Small Rubber Hat","EWallet"
"Bogisichbury",false,"generate",76.07,631760,true,"MN","3:57:19","Aleen Price","9-22-2021",63.29,"27628 Ledner Radial",false,"Toys, Industrial & Garden","redundant","Considine PhD","Male",253.16,13596,"copying",4,"Sleek Granite Chair","Cash"
"Libbyfurt",17.20,"generating",29.99,190905,93.25,"HI","5:6:25","Keegan Parisian","7-31-2021",45.53,"3646 Thalia Meadow",16.32,"Sports, Outdoors & Grocery",false,"Auer V","Female",91.06,77997,false,2,"Sleek Cotton Car","AMEX"
"Wymanbury",25.40,88.56,"calculating",318681,74.98,"MI","5:25:28","Abby Flatley","10-15-2021",79.79,"30120 Alda Fords",false,"Games",8880518,"Kuphal, Spencer and Blanda","Female",797.90,91863,"compress",10,"Rustic Steel Hat","MasterCard"
"South Roryborough",52.63,3293520,2704311,267772,68.37,"AL","3:10:35","Treva Zemlak","8-31-2021",46.52,"79187 Block Drive","HDD","Movies, Beauty & Baby",27.69,"Kshlerin DDS","Male",465.20,79370,"compress",10,"Awesome Plastic Gloves","Cash"
"East Savanahport",43.58,3251442,3290788,119102,58.55,"TX","13:57:49","Brendan Borer","10-2-2021",83.90,"273 Frami Gardens",8369596,"Toys",6769742,"McClure, Block and Franecki","Male",671.20,26887,68.21,8,"Practical Steel Hat","AMEX"
