hard drive,sensor,Department,ProductPrice,Gender,Date,Time,City,PaymentType,Total,microchip,Address,Store,InvoiceId,hard drive,PostalCode,port,Quantity,State,Product,CustomerName,port
60.64,"primary","Books & Garden",65.78,"Male","10-13-2021","10:8:32","Norvalberg","Cash",263.12,"copying","3864 Schuster Crest","Parisian, Wolff and Gorczany",903828,25.50,81314,"parsing",4,"MA","Intelligent Plastic Shirt","Ms. Juana Wiegand","RSS"
4126577,10.27,"Music",70.05,"Male","4-30-2021","17:0:2","Hickleton","MasterCard",70.05,934803,"1151 Darren Shores","Wiegand-Tillman",632356,9203357,99720,false,1,"KS","Practical Cotton Car","Alycia McDermott",true
"application",false,"Computers & Kids",87.27,"Female","10-2-2021","15:12:17","South Aniyahaven","Visa",261.81,false,"24159 Ledner Tunnel","McClure, Block and Franecki",795788,"synthesizing",41786,"feed",3,"NE","Small Cotton Shoes","Estevan Bernier","input"
"wireless",false,"Games & Electronics",87.51,"Male","8-1-2021","11:30:32","Port Doloresberg","Cash",612.57,"neural","8661 Gerson Estates","Kuphal, Spencer and Blanda",861906,"GB",75027,true,7,"AZ","Fantastic Plastic Pants","Nona Cole",true
626722,15.37,"Jewelery",43.63,"Male","10-23-2021","4:44:17","Port Vena","Visa",130.89,327776,"781 Domingo Fords","Larkin-McClure",113105,6026551,57231,3189123,3,"WA","Fantastic Concrete Shoes","Vena Fahey",6672245
"system",1633312,"Tools, Garden & Kids",87.81,"Female","9-16-2021","3:31:27","Wehnerfort","Visa",526.86,5265927,"85782 Janiya Squares","Lakin, O'Connell and Monahan",113996,"SMS",80523,35.09,6,"MO","Incredible Steel Car","Lourdes Nolan",31.14
true,false,"Books & Tools",56.02,"Female","4-6-2021","16:32:56","Nathanaelton","EWallet",448.16,6.33,"389 Lebsack Extension","Wiegand-Tillman",863375,false,26818,38.74,8,"ME","Gorgeous Rubber Shirt","Annamarie Becker Sr.",8.29
28.23,true,"Automotive, Health & Tools",79.97,"Male","12-23-2020","4:26:54","Laurianneshire","Visa",319.88,false,"248 Ericka Fort","Parisian, Wolff and Gorczany",421335,36.55,19649,9323043,4,"IA","Ergonomic Plastic Pants","Mrs. Jennie Lesch",6399406
744997,97.83,"Music, Sports & Computers",69.73,"Male","10-23-2021","7:0:10","New Zariaport","AMEX",209.19,true,"345 Huels Throughway","Armstrong, Strosin and Altenwerth",619035,6644977,98967,"SAS",3,"GA","Gorgeous Wooden Computer","Delilah Bode","microchip"
92.46,"firewall","Sports & Home",63.84,"Male","9-12-2021","13:38:36","Lavernaview","Visa",127.68,"application","70292 Claude Road","Auer V",352339,64.95,29478,5656929,2,"NJ","Practical Steel Chair","Jedediah Heaney",2494510
