InvoiceId,program,CustomerName, , ,Product,bandwidth,PaymentType,Gender,Address,interface,Store,Quantity,City,ProductPrice,Total,program,State,PostalCode,Date,Department,Time,monitor
419030,2.12,"Irving Mertz DDS",6943436,3122504,"Fantastic Steel Gloves",2754505,"Cash","Male","8985 Halvorson Passage",true,"Larkin-McClure",7,"Millston",16.83,117.81,44.22,"ID",47707,"5-9-2021","Grocery & Electronics","21:10:38",310467
449146,"copy","Estefania Turner",82.85,32.90,"Small Plastic Table",true,"Cash","Male","9375 Kimberly Port",true,"Wiegand-Tillman",7,"South Kathrynebury",19.33,135.31,"primary","MS",27927,"3-25-2021","Games & Industrial","11:23:45",false
575249,true,"Keegan Volkman",false,false,"Rustic Concrete Shoes",5750719,"Cash","Female","911 Katherine Extension",58.74,"Kuphal, Spencer and Blanda",9,"Ezequielshire",22.46,202.14,true,"FL",43998,"5-31-2021","Garden, Computers & Clothing","1:4:37",true
820770,1.54,"Josefina Brakus",true,false,"Ergonomic Concrete Shoes",4361947,"AMEX","Male","729 Anahi Street",true,"Kshlerin DDS",7,"Abshirechester",72.25,505.75,37.30,"HI",38562,"7-31-2021","Books","21:27:33",false
892076,"AI","Bo Runolfsdottir","system","cross-platform","Sleek Concrete Shirt","navigate","Cash","Female","1776 Baumbach Islands",4708799,"Larkin-McClure",2,"North Connerview",27.44,54.88,"open-source","WA",87177,"6-9-2021","Outdoors","1:57:28",73.00
895100,3185455,"Hettie Toy",5744685,9406884,"Fantastic Wooden Table","auxiliary","MasterCard","Female","124 Alana Place",95.26,"Wiegand-Tillman",9,"Mayerborough",23.13,208.17,7016119,"HI",35719,"3-15-2021","Computers & Beauty","18:14:47","parse"
950861,41.20,"Pierre Cruickshank",7917696,7764063,"Gorgeous Concrete Computer","application","MasterCard","Male","825 Mosciski Manors","haptic","McClure, Block and Franecki",8,"Port Aiyanaville",76.32,610.56,22.38,"CA",16633,"8-16-2021","Home","9:49:30",18.43
170609,6171243,"Sincere Wyman","copying","SMTP","Fantastic Steel Shirt","solid state","Cash","Male","59158 Volkman Branch",true,"Considine PhD",3,"Grimesstad",45.47,136.41,6247043,"NE",21314,"8-4-2021","Health, Tools & Music","5:17:26",85.88
801935,false,"Dr. Brannon Schimmel",58.61,21.55,"Sleek Steel Shirt",45.00,"AMEX","Male","771 Davis Heights",80.38,"Considine PhD",1,"Lake Mikelhaven",11.96,11.96,true,"CO",98907,"3-30-2021","Sports, Industrial & Clothing","16:7:43",40.58
955372,false,"Ladarius Kuhic",9436286,1946194,"Gorgeous Granite Car",false,"AMEX","Male","16859 Brakus Lakes",false,"Kuphal, Spencer and Blanda",10,"Bergstromton",20.00,200.00,true,"NH",70120,"12-14-2020","Kids","21:21:47",6515876
147631,"panel","Ila Thompson V","hacking","overriding","Small Plastic Shirt",93.05,"EWallet","Female","4598 Elvie Falls",5136190,"Larkin-McClure",10,"Mercedesberg",73.84,738.40,"RSS","WV",19589,"4-20-2021","Automotive & Games","4:51:10",true
485800,"capacitor","Laila Luettgen",true,false,"Intelligent Concrete Computer",2362406,"Cash","Female","1449 Kris Corner","JSON","Auer V",2,"Wuckertbury",68.29,136.58,"feed","TX",28607,"9-29-2021","Home & Automotive","13:22:42",8590603
472587,false,"Emmett Heller","copy","RAM","Incredible Rubber Chair","synthesize","AMEX","Female","3085 Abigayle Village",5098342,"Kshlerin DDS",3,"Rolfsonborough",38.43,115.29,true,"MI",66545,"10-17-2021","Kids & Jewelery","3:29:37",2837590
553921,"hacking","Louisa Johnston","CSS","generate","Awesome Plastic Hat","virtual","Visa","Female","685 Parisian Estates",75.09,"Considine PhD",9,"South Chancefort",64.94,584.46,"sensor","LA",10191,"10-19-2021","Electronics","15:1:48",7.49
113078,false,"Lina Roberts",false,true,"Intelligent Plastic Chair",true,"AMEX","Male","978 Boyle Divide",69.21,"Auer V",4,"D'angelofurt",61.85,247.40,true,"DE",56193,"5-3-2021","Computers, Clothing & Music","4:36:29",27.83
305424,false,"Jeanie Zemlak",77.38,64.29,"Fantastic Wooden Shirt","matrix","AMEX","Male","28172 Mitchell Parks",1341835,"Kshlerin DDS",3,"Lake Kaileyland",39.25,117.75,true,"OK",28205,"6-25-2021","Music & Computers","4:22:2",9.55
382988,false,"Miss Nina Jacobi",false,true,"Gorgeous Cotton Chair",false,"AMEX","Female","19996 Treutel Stream","open-source","Lakin, O'Connell and Monahan",4,"New Brennon",90.27,361.08,true,"NJ",20603,"8-30-2021","Games & Home","14:17:31","programming"
435614,"driver","Riley Stracke",48.86,11.26,"Gorgeous Concrete Table",7541909,"Cash","Female","858 Rylee Glen","THX","McClure, Block and Franecki",8,"Legrosfort",13.67,109.36,"navigate","LA",36549,"9-15-2021","Automotive","20:45:50",false
458880,2387106,"Jasen Crist Jr.",69.25,59.31,"Ergonomic Granite Pants",2220293,"MasterCard","Female","241 Labadie Summit",42.80,"Auer V",6,"Koryfurt",40.62,243.72,4692678,"ME",39055,"9-19-2021","Automotive","4:5:47",1.42
503096,true,"Fae Hyatt","hard drive","monitor","Sleek Wooden Hat",true,"EWallet","Male","911 Greta Track",62.72,"Armstrong, Strosin and Altenwerth",8,"New Roma",13.58,108.64,true,"NJ",99032,"9-6-2021","Baby, Clothing & Health","0:19:41",true
520851,1.94,"Arely Ullrich V",false,true,"Awesome Plastic Table",75.25,"EWallet","Female","55243 Jeffry Underpass",59.81,"Armstrong, Strosin and Altenwerth",8,"East Dwightfort",99.26,794.08,5.73,"KS",55730,"8-23-2021","Music, Tools & Health","22:13:35",false
213672,false,"Priscilla Wilkinson",44.53,7.47,"Awesome Wooden Computer",false,"EWallet","Male","7963 Nikki Courts",8981510,"Considine PhD",7,"Otiliatown",60.10,420.70,false,"MI",30227,"9-16-2021","Industrial & Shoes","10:34:31",false
901878,69.28,"Dr. Alaina Corkery",7356540,6563816,"Practical Granite Computer",false,"Cash","Male","19321 Hermina Row","bus","Kuphal, Spencer and Blanda",10,"Port Janastad",5.84,58.40,1.41,"TN",57149,"8-3-2021","Clothing, Garden & Baby","22:7:12","compress"
935293,16.39,"Lea Streich","copy","application","Sleek Rubber Shirt","override","AMEX","Male","84109 Rowland Station",24.71,"Lakin, O'Connell and Monahan",8,"Port Ariel",30.90,247.20,48.55,"NY",65409,"9-5-2021","Computers & Tools","10:20:28",814233
109442,"copy","Garrison Prosacco IV",84.63,73.67,"Sleek Concrete Shoes",false,"Visa","Male","4033 Vicenta Canyon",72.78,"Kuphal, Spencer and Blanda",2,"Cristinaview",62.03,124.06,"1080p","GA",97754,"10-19-2021","Movies & Computers","18:24:32","JBOD"
404460,true,"Roman Flatley DDS",true,false,"Sleek Steel Pants",false,"AMEX","Female","1658 Wilbert Prairie",96.97,"Armstrong, Strosin and Altenwerth",4,"Katelynside",93.36,373.44,false,"AK",85182,"8-18-2021","Computers & Toys","20:7:20",7198765
701510,363882,"Benny Luettgen","navigate","compressing","Intelligent Rubber Gloves","hack","AMEX","Female","15670 Mathias Village",true,"Kuphal, Spencer and Blanda",1,"North Jose",72.78,72.78,8735930,"NH",46438,"8-6-2021","Garden & Health","11:18:36",2077558
705580,1196298,"Oliver Durgan III",false,true,"Practical Concrete Hat",true,"Cash","Female","5764 Cassin Villages",92.25,"Auer V",7,"Binsfurt",62.45,437.15,7323817,"IL",83611,"4-22-2021","Shoes","2:10:7",85.96
395383,74.96,"Desiree Tillman",false,false,"Gorgeous Granite Car",50.90,"MasterCard","Female","417 Florencio Canyon",46.97,"McClure, Block and Franecki",4,"Robelside",93.34,373.36,83.33,"AZ",28689,"10-3-2021","Jewelery","14:5:11",5008491
989165,true,"Sarah Cummerata",26.68,86.71,"Small Rubber Hat","JSON","Cash","Female","4120 Ziemann Crescent",3107569,"Larkin-McClure",4,"Grahamfurt",1.88,7.52,true,"ND",21496,"10-9-2021","Sports & Electronics","16:21:17",false
215228,"hack","Victor Deckow DVM",true,false,"Awesome Cotton Table",571094,"AMEX","Male","756 Rebeca Creek",44.60,"Wiegand-Tillman",9,"Port Ottis",85.42,768.78,"compressing","SD",61480,"2-16-2021","Games & Jewelery","2:52:43",true
285735,38.01,"Tristian King",true,true,"Gorgeous Steel Pants",false,"EWallet","Male","81067 Dalton Rest",9.39,"Larkin-McClure",1,"North Liza",55.75,55.75,54.88,"WV",72271,"8-12-2021","Home","20:26:24",false
706225,83.75,"Mr. Astrid Feil",39.64,73.27,"Small Rubber Chair",6257576,"MasterCard","Male","820 Mathew Keys",15.33,"Lakin, O'Connell and Monahan",2,"Kevonborough",11.48,22.96,43.82,"CO",37728,"8-16-2021","Grocery, Sports & Toys","8:20:32","transmit"
843109,"program","Golda Herzog","neural","HTTP","Fantastic Steel Car",false,"EWallet","Female","1870 Amiya Vista",5263667,"Kuphal, Spencer and Blanda",2,"Isadorestad",0.29,0.58,"SMS","SC",29843,"8-14-2021","Tools","17:18:52",false
