Date,monitor,Gender,PostalCode,Department,InvoiceId,Store,State,Total,CustomerName,Time,Address,protocol,ProductPrice,Product,Quantity,City,hard drive,port,sensor,PaymentType
"10-7-2021",7166522,"Male",37398,"Clothing & Shoes",243198,"Kshlerin DDS","NM",286.95,"Ryann Monahan","5:25:58","330 O'Keefe Path",5253912,57.39,"Sleek Plastic Computer",5,"West Delphaland","redundant",5891757,"back up","Visa"
"10-13-2021",46.79,"Male",22101,"Sports & Health",143441,"Lakin, O'Connell and Monahan","NV",44.19,"Leslie Jerde","22:40:19","4621 Adaline Knolls","navigating",44.19,"Incredible Rubber Shoes",1,"East Ryleeborough",86.04,5762138,"neural","AMEX"
"8-30-2021",false,"Male",45566,"Shoes & Electronics",609230,"Parisian, Wolff and Gorczany","NY",215.70,"Xzavier Larson I","23:28:3","691 Uriel Groves","bus",71.90,"Gorgeous Plastic Computer",3,"Port Maximilian","ADP",true,"matrix","Cash"
"10-13-2021",false,"Male",99296,"Industrial & Baby",605115,"Parisian, Wolff and Gorczany","NJ",620.83,"Angelita Renner","13:15:10","715 Cartwright Station",52.37,88.69,"Sleek Concrete Chair",7,"North Ambrosehaven",5705972,false,"hard drive","EWallet"
"10-25-2021",6923708,"Female",31788,"Toys, Health & Games",784082,"Armstrong, Strosin and Altenwerth","WY",155.85,"Norene Prohaska","7:17:44","430 Jaylen Circles",53.67,51.95,"Awesome Concrete Pants",3,"Port Cathy","sensor",5300442,false,"Cash"
"4-26-2021",true,"Female",64037,"Outdoors",696518,"Auer V","NC",369.30,"Bill Buckridge","19:33:0","227 Lester Keys",false,73.86,"Rustic Steel Shirt",5,"Carlomouth",false,30.91,true,"Visa"
"5-24-2021",false,"Male",77272,"Baby & Sports",243007,"Armstrong, Strosin and Altenwerth","CA",188.16,"Rachael Steuber","22:15:41","2926 White Trail","alarm",62.72,"Gorgeous Rubber Car",3,"Shieldstown",false,true,true,"EWallet"
"4-22-2021",8671533,"Female",78307,"Books & Home",939871,"Kuphal, Spencer and Blanda","NJ",590.67,"Dr. Brain DuBuque","19:16:13","46883 Judy Estates","SMTP",65.63,"Awesome Cotton Hat",9,"Hauckville",48.32,"AI",73.14,"AMEX"
"6-10-2021","navigate","Male",10216,"Baby, Garden & Books",728551,"Kshlerin DDS","AL",49.09,"Ms. Maxwell Kuhlman","14:46:59","7935 Priscilla Loop",29.40,49.09,"Ergonomic Plastic Shirt",1,"Lavernatown","capacitor",88.61,"bandwidth","AMEX"
"6-15-2021",74.45,"Female",24791,"Kids, Home & Books",447573,"Considine PhD","MS",215.49,"Ms. Maurice Quitzon","21:40:28","79741 Chadrick Crossroad",6197124,71.83,"Incredible Rubber Pants",3,"Sanfordfurt","solid state",false,true,"MasterCard"
"10-17-2021","card","Male",79705,"Sports, Jewelery & Outdoors",941325,"Kuphal, Spencer and Blanda","KY",251.24,"Victoria Lind","5:37:19","9085 Bradley Way",true,62.81,"Incredible Plastic Computer",4,"Boristown",7848367,true,"quantify","Cash"
"9-9-2021","1080p","Female",70837,"Industrial",211283,"Kshlerin DDS","DE",95.92,"Kali Boyer","5:7:11","7102 Ferry Mall",53.44,95.92,"Practical Granite Hat",1,"Larsonland",true,true,99.74,"EWallet"
"9-10-2021",false,"Female",33285,"Electronics, Sports & Grocery",983750,"Wiegand-Tillman","DE",180.32,"Janie Luettgen","7:50:11","3720 Kovacek Light",false,22.54,"Intelligent Concrete Chair",8,"Beckerhaven",64.66,true,16.87,"AMEX"
"3-22-2021",true,"Female",21172,"Books & Baby",352560,"Kuphal, Spencer and Blanda","MT",259.35,"Jayden Pouros","13:42:6","55382 Lillie Light",true,86.45,"Sleek Plastic Table",3,"West Antwonton",true,5.57,true,"AMEX"
"9-28-2021",true,"Female",61130,"Games",685092,"Lakin, O'Connell and Monahan","DE",69.83,"Valentin Grady","17:6:55","92369 Meghan Courts",false,69.83,"Small Steel Car",1,"North Nannieville",7793105,"bypass",3.52,"Visa"
"10-22-2021","open-source","Male",92926,"Toys & Industrial",831012,"Armstrong, Strosin and Altenwerth","LA",311.96,"Oral Volkman","6:40:37","1723 Shanahan Plaza",32.43,77.99,"Gorgeous Concrete Shoes",4,"Sandyburgh",1849738,31.13,"back-end","Visa"
"10-20-2021","RAM","Female",47607,"Kids & Jewelery",465451,"Auer V","WI",75.12,"Preston Swift","6:28:16","7189 Frami River",false,12.52,"Sleek Rubber Car",6,"Port Avisfort","SDD",85.85,6271581,"AMEX"
"9-14-2021",740416,"Female",83527,"Books, Shoes & Movies",429457,"Kshlerin DDS","OK",450.36,"Hermann Lemke","14:1:36","84147 Franecki Field",30.66,50.04,"Ergonomic Steel Shirt",9,"Lake Jane","parsing",16.99,"XML","AMEX"
"9-5-2021","virtual","Female",49098,"Jewelery",310709,"Kshlerin DDS","SD",482.48,"Ms. Lucienne Tromp","17:54:9","35978 Cronin Mountain",45.36,60.31,"Sleek Steel Computer",8,"New Osbaldofurt",3047377,"FTP",18.00,"Visa"
"7-25-2021",70.01,"Male",36578,"Movies & Tools",316403,"McClure, Block and Franecki","VT",138.30,"Riley Goyette","18:9:8","6915 Morar Key",true,69.15,"Sleek Steel Table",2,"Stoltenbergmouth",false,26.29,"JBOD","Visa"
"5-10-2021",765937,"Male",99035,"Computers, Sports & Movies",308174,"Wiegand-Tillman","IN",181.92,"Antonetta Welch","16:33:23","42535 Pearl Way",35.18,45.48,"Ergonomic Wooden Gloves",4,"Lake Kelliehaven",false,21.02,84.52,"Visa"
"5-6-2021","hacking","Male",46200,"Jewelery",291878,"Wiegand-Tillman","MI",617.40,"Darwin Mohr IV","21:43:18","5822 Brendan Spurs",6.01,68.60,"Gorgeous Steel Shirt",9,"North Orland",true,false,79.63,"MasterCard"
"9-12-2021","XSS","Male",58605,"Electronics",207840,"Parisian, Wolff and Gorczany","TN",657.30,"Gracie Rosenbaum","2:51:34","242 Eleazar Lights",false,65.73,"Awesome Concrete Pants",10,"Howeberg","overriding",true,"programming","Visa"
"6-15-2021",66.63,"Male",76829,"Health & Beauty",204905,"Wiegand-Tillman","WY",136.14,"Mr. River Thompson","3:0:44","5051 Talia Ridge",2162556,22.69,"Fantastic Wooden Hat",6,"New Rebekahchester",8450862,8994883,5871103,"Visa"
"9-16-2021",4059613,"Male",43676,"Tools & Kids",744463,"McClure, Block and Franecki","NY",81.80,"Bradford Macejkovic PhD","21:56:55","4424 Alysha Flat","connecting",8.18,"Ergonomic Cotton Computer",10,"Lake Maudiestad",5486416,"bus",252851,"Visa"
"2-17-2021","backing up","Male",56973,"Home, Toys & Books",621835,"Kshlerin DDS","MI",42.75,"Bernice Kling","21:24:20","633 Cummerata Mall","wireless",42.75,"Intelligent Steel Pants",1,"Port Rowlandland","XSS",true,true,"AMEX"
"8-12-2021",1149769,"Male",60728,"Health & Shoes",165190,"Auer V","UT",22.12,"Juvenal Morar","22:49:48","202 Toy Drives",90.34,22.12,"Gorgeous Granite Chair",1,"Jadonchester",false,4311080,true,"MasterCard"
"9-30-2021",false,"Male",48736,"Health, Clothing & Sports",794144,"Considine PhD","AZ",105.15,"Derrick Feeney","7:51:5","307 Mosciski Wells",8056124,21.03,"Intelligent Concrete Computer",5,"Port Jewellhaven",75.57,false,8563324,"EWallet"
"9-8-2021",76.70,"Female",75900,"Music",870799,"Auer V","IN",367.12,"Coralie Wilderman","0:55:6","53469 Vernice Parkway",false,91.78,"Practical Concrete Gloves",4,"Windlerland",96.61,60.33,22.72,"AMEX"
