PaymentType,Product,hard drive,PostalCode,system,Department,Address,Quantity,State,feed,Date,sensor,City,capacitor,capacitor,transmitter,CustomerName,Total,Gender,transmitter,array,Time,Store,InvoiceId,ProductPrice
"Visa","Gorgeous Granite Hat","back-end",34068,26.97,"Beauty & Music","3398 Casey Parks",10,"NE",3026699,"12-7-2020",4845353,"Kuhlmanmouth",36.79,99.87,"connecting","Moses Kuhic",541.70,"Male","SCSI","back-end","12:7:19","Parisian, Wolff and Gorczany",198414,54.17
"AMEX","Incredible Granite Shirt",34.07,25684,7181574,"Clothing, Health & Books","67126 Bogan Junctions",2,"CO",8279581,"6-20-2021","SMS","East Crawfordshire",false,false,7671063,"Amina Beatty",35.62,"Male",846298,"panel","20:16:43","Auer V",344093,17.81
"Cash","Practical Concrete Gloves",true,61700,true,"Outdoors, Home & Beauty","922 Gerhold Crest",4,"SC",false,"8-6-2021",50.26,"Port Pearl",10.27,73.51,8236566,"Reginald Bernhard",295.68,"Male",2552207,1882479,"23:40:38","Considine PhD",547746,73.92
"EWallet","Sleek Steel Computer",8.81,49901,68.63,"Jewelery, Health & Industrial","5066 Elyssa Neck",1,"CO",4.37,"8-2-2021",66.95,"Jenkinschester",17.20,80.04,true,"Lessie McDermott",95.83,"Male",false,true,"21:30:56","Considine PhD",242500,95.83
"EWallet","Practical Cotton Computer",25.18,76440,75.54,"Kids & Tools","496 Lemke Wells",10,"ND",10.91,"2-11-2021",9033026,"Javontestad",24.53,87.00,5614626,"Hannah Hegmann",347.40,"Female",3170454,true,"5:13:14","McClure, Block and Franecki",550784,34.74
"EWallet","Practical Cotton Car",3639585,96137,4372820,"Books","322 Volkman Dale",5,"OK",true,"6-22-2021","program","Rohanberg",8930072,7634306,80.90,"Ernest Cummerata",154.65,"Male",89.48,"ADP","14:31:44","Larkin-McClure",722112,30.93
"Cash","Awesome Rubber Shoes",true,96906,"cross-platform","Clothing, Electronics & Garden","78308 Harber Dam",8,"OH",false,"7-28-2021","synthesizing","East Grant",770065,5479783,1081398,"Rigoberto Bergstrom",567.52,"Male",526825,"firewall","13:40:29","Considine PhD",822648,70.94
"MasterCard","Sleek Cotton Gloves",true,91538,3756158,"Industrial & Shoes","305 Stanley Neck",5,"NE","optical","8-15-2021",1365587,"Schuppeshire",87.64,50.91,1343399,"Bailey Johnston",402.30,"Female",7011876,9483942,"17:45:39","Auer V",899568,80.46
"MasterCard","Sleek Cotton Chair",7950504,80860,46.23,"Sports","21678 Weber Camp",7,"FL",82.15,"1-18-2021",false,"Pearlland",94.58,57.84,47.97,"Kennedi Heaney",555.10,"Male",71.06,true,"19:7:30","Wiegand-Tillman",546729,79.30
"MasterCard","Intelligent Granite Gloves","transmitting",79552,1616359,"Industrial & Jewelery","59800 Christina Shoal",8,"WI",88.69,"9-21-2021",false,"Eastonshire",true,true,51.77,"Jessika Langworth",593.12,"Female",86.95,true,"4:10:26","Lakin, O'Connell and Monahan",238433,74.14
"EWallet","Ergonomic Wooden Table",36.87,58829,59.86,"Garden","600 Joannie Drives",10,"WY","hacking","9-3-2021","CSS","Lake Domenica",false,false,"cross-platform","Miss Curt Johnson",180.40,"Female","hacking","neural","21:48:55","McClure, Block and Franecki",105274,18.04
"AMEX","Ergonomic Wooden Shirt","bluetooth",36522,46.22,"Jewelery, Garden & Health","53194 Dooley Isle",2,"MD",4237198,"7-29-2021","navigating","North Adriannachester","back up","compress",81.57,"Mr. Ali Carter",28.04,"Male",90.93,"circuit","23:35:16","Lakin, O'Connell and Monahan",730242,14.02
"AMEX","Awesome Cotton Car",9.57,22736,32.93,"Automotive & Music","5242 Malachi Valley",1,"MN","mobile","10-4-2021",8760753,"South Matildaland",82.50,45.82,false,"Ellen Armstrong",22.50,"Female",false,8862170,"4:49:40","Parisian, Wolff and Gorczany",533055,22.50
"Cash","Gorgeous Steel Computer",16.69,99551,true,"Industrial & Movies","80997 Jamey Neck",5,"WV",2.81,"9-29-2021",true,"New Dawson",true,false,false,"Donny Corkery II",364.60,"Male",true,91.59,"13:10:49","Lakin, O'Connell and Monahan",695353,72.92
"AMEX","Sleek Cotton Hat",50.80,77771,13.65,"Shoes & Kids","321 Rogahn Squares",3,"OR",true,"12-28-2020",96.73,"Zariaborough",8291428,6469087,12.09,"Ward Blick",236.37,"Female",35.58,true,"18:30:9","Armstrong, Strosin and Altenwerth",319742,78.79
"AMEX","Incredible Granite Chair",true,92700,"wireless","Industrial","72486 Reina Throughway",6,"MO",80.60,"9-21-2021",2264287,"East Matt",2439142,1479196,"back up","Eudora Mayer",80.22,"Female","quantifying",false,"23:16:37","McClure, Block and Franecki",169402,13.37
"Cash","Intelligent Rubber Gloves",9033072,70607,3542891,"Games & Books","31039 Schultz Meadows",5,"ND","USB","9-4-2021","mobile","Lindgrenstad","open-source","multi-byte","index","Ervin Greenfelder",126.25,"Female","program","SQL","19:44:18","Lakin, O'Connell and Monahan",208952,25.25
"MasterCard","Sleek Steel Computer",55.25,85524,17.51,"Baby","371 Lemke Glens",6,"DE",4376405,"10-25-2021",73.77,"Lake Emmanuelle",true,true,true,"Katelynn Schuppe",270.72,"Female",true,2687862,"0:53:47","Kshlerin DDS",888021,45.12
"Visa","Small Wooden Computer",24.45,35090,true,"Tools & Games","7436 Bashirian Greens",8,"NE",false,"10-4-2021",74.39,"Port Juanahaven",true,false,"copying","Mr. Shayna Bogan",145.76,"Male","mobile","SSL","10:9:41","Wiegand-Tillman",575016,18.22
"EWallet","Fantastic Concrete Chair","override",57077,true,"Sports","638 Jordi Greens",5,"WA",5935627,"5-11-2021",true,"Maverickstad",true,false,86.91,"Stephania Kuhlman",38.05,"Female",10.19,false,"20:22:3","Auer V",871580,7.61
"Cash","Practical Granite Shoes",false,60699,85.35,"Clothing","375 Kozey Mountain",7,"AK","quantifying","10-11-2021","CSS","Torreytown",33.66,93.68,"cross-platform","Janelle Effertz",444.85,"Female","compressing",4676869,"18:19:2","Lakin, O'Connell and Monahan",924603,63.55
"MasterCard","Incredible Granite Shirt","redundant",28042,true,"Automotive","448 Lubowitz Keys",5,"CT",5976897,"9-1-2021","IB","Lake Sebastiantown",10.93,61.38,"virtual","Lisandro Tromp",368.20,"Female","hacking",6275194,"23:6:52","Parisian, Wolff and Gorczany",633669,73.64
"AMEX","Practical Steel Hat",857362,58376,6236732,"Kids","2288 Sanford Parkways",10,"NJ",19.16,"3-13-2021","index","South Tina",17.88,8.12,"generating","Ms. Columbus Howe",186.20,"Female","mobile",4317051,"23:0:18","Larkin-McClure",834966,18.62
"AMEX","Small Rubber Computer",772357,48402,56.61,"Clothing","320 Roberts Forest",7,"SC",false,"7-19-2021",54.90,"Maximillianland",5.27,65.69,false,"Lois Skiles DDS",356.86,"Male",false,1196407,"6:54:52","Kuphal, Spencer and Blanda",609686,50.98
"Visa","Gorgeous Concrete Car",93.47,82690,53.59,"Tools, Baby & Health","27114 Haylie Fall",7,"NJ","digital","5-30-2021",false,"Oberbrunnerfort",75.75,65.92,true,"Henriette Wiegand",398.30,"Male",true,50.97,"20:58:22","Auer V",275264,56.90
"EWallet","Rustic Granite Chair",false,46269,"monitor","Beauty & Outdoors","8494 Grady Plains",2,"OH",50.64,"10-21-2021",13.22,"Clairview","auxiliary","synthesize",5891209,"Gail Medhurst",123.56,"Female",6750087,"RAM","20:34:21","Armstrong, Strosin and Altenwerth",771936,61.78
"Cash","Practical Steel Pants",true,95785,"quantify","Jewelery","3158 Steuber Haven",10,"OH","USB","9-2-2021",8842308,"North Samanthaville",7597269,208415,525027,"Manuel Kohler",594.10,"Male",2987369,8260780,"12:37:32","Armstrong, Strosin and Altenwerth",603579,59.41
"AMEX","Practical Steel Shirt","card",65373,false,"Shoes, Industrial & Computers","9067 Morissette Port",6,"AK",false,"7-15-2021",true,"East Davon",33.46,93.41,false,"Lorenz Ebert",201.18,"Male",false,true,"19:37:6","Larkin-McClure",620559,33.53
"Cash","Practical Steel Pants",false,58540,false,"Sports, Toys & Tools","2132 Eliane Falls",9,"CO",true,"9-21-2021",41.59,"Stromanton",false,false,false,"Hayden Rempel III",766.26,"Male",false,"sensor","0:38:0","Armstrong, Strosin and Altenwerth",665820,85.14
"AMEX","Ergonomic Steel Computer",true,24115,55.28,"Kids & Shoes","2283 Angus Fords",7,"NM",78.39,"7-31-2021",41.67,"Lake Sylvester",false,true,9382509,"Jimmie Heidenreich",357.21,"Male",1545275,false,"18:43:28","Wiegand-Tillman",450233,51.03
"MasterCard","Ergonomic Concrete Computer","SMS",30536,"compressing","Computers, Clothing & Grocery","836 Bogisich Cliffs",7,"MA",2543652,"9-16-2021","protocol","Lake Gustaveside",458323,2398704,true,"Miss Calista Raynor",670.25,"Female",false,1125919,"21:26:22","Armstrong, Strosin and Altenwerth",838499,95.75
"MasterCard","Awesome Wooden Shoes",2270762,54218,"back-end","Sports","446 Frami Knolls",3,"ID",72.30,"8-18-2021",8275005,"Moorestad",9324313,2271144,5031338,"Evalyn Auer I",7.47,"Male",1913941,"hard drive","22:41:6","McClure, Block and Franecki",869748,2.49
